id,title,content
44,"年轻人，你职责是平整土地，而非焦虑时光。你做三四月的事，在八九月自有答案。
","你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
年轻人，你职责是平整土地，而非焦虑时光。你做三四月的事，在八九月自有答案。
---
"
45,"寂静在喧嚣里低头不语，沉默在黑夜里与目光结交。于是，我们看错了世界，却说世界欺骗了我们。
","你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
寂静在喧嚣里低头不语，沉默在黑夜里与目光结交。于是，我们看错了世界，却说世界欺骗了我们。
---
"
46,一生至少该有一次，为了某个人而忘了自己，不求有结果，不求同行，不求曾经拥有，甚至不求你爱我，只求在我最美的年华里，遇见你,"你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
一生至少该有一次，为了某个人而忘了自己，不求有结果，不求同行，不求曾经拥有，甚至不求你爱我，只求在我最美的年华里，遇见你
---
"
47,人生这条路很长，未来如星辰大海般璀璨，不必踟躇于过去的半亩方塘。那些所谓的遗憾，可能是一种成长；那些曾受过的伤，终会化作照亮前路的光。,"你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
人生这条路很长，未来如星辰大海般璀璨，不必踟躇于过去的半亩方塘。那些所谓的遗憾，可能是一种成长；那些曾受过的伤，终会化作照亮前路的光。
---
"
48,仰望历史的天空，国家情怀熠熠生辉；跨越时间的长河，家国家情怀绵绵不断。,"你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
仰望历史的天空，国家情怀熠熠生辉；跨越时间的长河，家国家情怀绵绵不断。
---
"
49,青年的肩，能担得起草长莺飞和盛夏蝉鸣的美好，也能担得起民族复兴和国家富强的重任。,"你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
青年的肩，能担得起草长莺飞和盛夏蝉鸣的美好，也能担得起民族复兴和国家富强的重任。
---
"
50,世间很多美好的事物，并非是触手可及的，经过了世间的酝酿和打磨，等待的结果，才会显得更加珍贵。,"你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
世间很多美好的事物，并非是触手可及的，经过了世间的酝酿和打磨，等待的结果，才会显得更加珍贵。
---
"
51,"我偷了李白的酒,想解一解这世间的愁,
爱恨两难恩怨休,终是人比花瘦
","你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
我偷了李白的酒,想解一解这世间的愁,
爱恨两难恩怨休,终是人比花瘦
---
"
1,我偷偷碰了你一下，却不料你如蒲公英散开，此后到处都是你的模样。,"你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
我偷偷碰了你一下，却不料你如蒲公英散开，此后到处都是你的模样。
---
"
2,我想起夜幕降临的时候，和你踏着星光走去。想起了灯光照着树叶的时候，踏着婆娑的灯影走去。想起了欲语又塞的时候，和你在一起。,"你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
我想起夜幕降临的时候，和你踏着星光走去。想起了灯光照着树叶的时候，踏着婆娑的灯影走去。想起了欲语又塞的时候，和你在一起。
---
"
3,"我对自己的要求很低
我活在世上,无非想要明白些道理,遇见些有趣的事。
倘能如我愿,我的一生就算成功。","你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
我对自己的要求很低
我活在世上,无非想要明白些道理,遇见些有趣的事。
倘能如我愿,我的一生就算成功。
---
"
4,感谢你，我又弯身潜入一个清凉如水的夜晚漫游，仿佛星星落满你身上的河流，那是夏天。秋天还是春天？,"你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
感谢你，我又弯身潜入一个清凉如水的夜晚漫游，仿佛星星落满你身上的河流，那是夏天。秋天还是春天？
---
"
5,"海水有尽头，月亮有圆缺，人间有不足，但你在，就能弥补 
你嘴凑上来，我对你嘴说，这话就一直钻到你心里省得走远路，拐了弯从耳朵里进去","你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
海水有尽头，月亮有圆缺，人间有不足，但你在，就能弥补 
你嘴凑上来，我对你嘴说，这话就一直钻到你心里省得走远路，拐了弯从耳朵里进去
---
"
6,好的爱情是双方以自由为最高赠礼的洒脱，以及绝不滥用这一份自由的珍惜,"你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
好的爱情是双方以自由为最高赠礼的洒脱，以及绝不滥用这一份自由的珍惜
---
"
7,我生怕自己本非美玉，故而不敢加以刻苦琢磨;却又半信自己是块美玉，故又不肯庸庸碌碌，与瓦砾为伍。,"你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
我生怕自己本非美玉，故而不敢加以刻苦琢磨;却又半信自己是块美玉，故又不肯庸庸碌碌，与瓦砾为伍。
---
"
8,我不想谋生，我要生活，我没有线用，但我懒得去挣。,"你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
我不想谋生，我要生活，我没有线用，但我懒得去挣。
---
"
9,你会见到，将来我是一事无成，很轻松，完璧归赵似的。,"你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
你会见到，将来我是一事无成，很轻松，完璧归赵似的。
---
"
10,"我常以为是丑女造就了美人。我常以为是愚氓举出了智者。我常以为是懦夫衬照了英雄。我常以为是众生度化了佛祖。
","你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
我常以为是丑女造就了美人。我常以为是愚氓举出了智者。我常以为是懦夫衬照了英雄。我常以为是众生度化了佛祖。
---
"
11,"所谓人生便是这么个东西,
一如植物的种子被不期而遇的风吹走,
我们都在偶然的大地上彷徨。
","你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
所谓人生便是这么个东西,
一如植物的种子被不期而遇的风吹走,
我们都在偶然的大地上彷徨。
---
"
12,我想成为一个温柔的人，因为曾被温柔的人那样对待，所以了解，那种温柔以待的感觉,"你是个非常会模仿各种名家名篇的作者，你非常会仿写内容，我给你一个样本示例：
- T1:: 原句
- T2:: 令我吃惊的是,我瞥见一枝月季,从雪中挺出,顶端开着一朵小花,鲜红浓艳,傲雪独立。它仿佛带给我灵感,带给我活力,带给我无穷无尽的希望。我一时狂欢,不能自禁。
- T3:: 仿写
- T4:: 令我震撼的是,我瞥见一抹夕阳,映在海面,海天一色,金黄浓烈,光芒万丈。它仿佛带给我力量,带给我希望,带给我无以言表的感动。我一时语塞,如痴如醉。
---
仿写要求：
1、情感基调：仿写要模仿原文的情感深度和强度，保持一致。
2、语言和句式结构：仿写要严格保持原句的语言风格和句子结构。
3、主题：更换关键主题，可以都是自然景象，人物故事，但要换主体，换场景。
4、使用相似的修饰词：与原文对照工整，如“鲜红浓艳,傲雪独立”和“金黄浓烈,光芒万丈”，描绘贴切又丰富。
5、细节和创新：仿写不能和原文一样的意思，只是语气结构一致，但内容和细节完全不同，形成新的表达。与原文更像排比句。
输出格式：
6请严格按照样本格式输出，保持markdown格式
7.所有内容用一个markdown代码框包围，不需要多余的解释
--——
现在你模仿样本的写法，也给我一段仿写，我的原句是：
我想成为一个温柔的人，因为曾被温柔的人那样对待，所以了解，那种温柔以待的感觉
---
"
